SERPM 7.0 Transit Statistics                                

                                          ----------AM Peak---------    -----------Off-Peak-------    ------------PM Peak-------  -Daily-
                                Dist      Time      Freq                Time      Freq                Time      Freq
 Route                Mode   (Miles)     (Min)      (Min)      Pax     (Min)      (Min)      Pax      (Min)      (Min)      Pax      Pax
 M33L104BD             392     13.69     43.85     60.00        38     41.65     60.00        85     44.23     60.00        45       168
 M33L105BD             392      9.88     27.14     30.00        10     26.17     30.00        23     28.62     30.00        13        46
 M33L106BD             392      9.17     31.55     60.00        29     30.13     60.00        57     33.45     60.00        30       116
 M33L108BD             391     19.28     63.02     90.00         0     58.17     90.00        12     64.51     90.00         4        16
 M33L109BD             391     18.23     54.99     45.00       116     52.11     45.00       180     58.15     45.00       148       444
 M33L111BD             392     11.17     36.24     60.00        28     33.36     60.00        46     40.04     60.00        33       107
 M33L112BD             392     10.65     39.60     60.00        13     38.14     60.00        52     40.68     60.00        23        88
 M33L115BD             391      2.55     12.95     10.00       120     12.67     10.00        96     13.01     10.00        92       308
 M33L119BD             392     12.10     47.77     10.00       227     45.98     60.00        72     49.13     10.00       339       638
 M33L120BD             392     11.16     31.96     10.00       166     29.32     45.00        71     34.60     10.00       230       467
 M33L121BD             392     10.08     36.91     10.00       226     32.96     30.00       146     40.32     30.00        88       460
 M33L122BD             392     11.46     43.81     60.00        75     36.41     60.00        83     47.34     60.00        23       181
SERPM 7.0 Transit Statistics                                

                                          ----------AM Peak---------    -----------Off-Peak-------    ------------PM Peak-------  -Daily-
                                Dist      Time      Freq                Time      Freq                Time      Freq
 Route                Mode   (Miles)     (Min)      (Min)     Pax      (Min)      (Min)      Pax      (Min)      (Min)      Pax      Pax

 M33L123BD             392      8.30     35.32     55.00        48     28.53     55.00        85     39.24     55.00        33       166
 M33L124BD             392      8.04     29.75     30.00        36     25.15     30.00       117     30.88     30.00        40       193
 M33L125BD             392      8.25     26.01     45.00        57     24.62     45.00       129     27.29     45.00        37       223
 M33L126BD             392      8.28     29.14     55.00         7     27.82     55.00        24     30.32     55.00         2        33
 M33L127BD             392      8.37     36.08     55.00        29     29.30     55.00        84     40.04     55.00        32       145
 M33L128BD             392      7.84     28.86     55.00         7     28.05     60.00         7     29.47     55.00        10        24
 M33L129BD             392     12.42     38.89     60.00        27     35.59     60.00        71     40.90     60.00        28       126
 M33L130BD             392     13.57     47.18     60.00        10     43.95     60.00        49     48.96     60.00        22        81
 M33L131BD             392     11.18     36.94     60.00        12     34.00     60.00        52     38.57     60.00        12        76
 M33L132BD             392     11.69     42.13     60.00        17     38.91     60.00        31     44.55     60.00        11        59
