Origin_Zone,Destination_Zone,Start_date,End_Date,Purpose,Time_of_Day,Subscriber_Class,Count,SZCount
7,31,20150401,20150430,H00:H24,NHB,Resident,305.87,48.66
31,20,20150401,20150430,H00:H24,NHB,Resident,144.47,34.87
20,9,20150401,20150430,H00:H24,HBO,Resident,418.43,22.26
13,2,20150401,20150430,H00:H24,NHB,Visitor,10022.93,352.73
21,25,20150401,20150430,H00:H24,HBO,Resident,92.15,10.24
25,21,20150401,20150430,H00:H24,HBO,Resident,89.44,27.22
16,9,20150401,20150430,H00:H24,NHB,Resident,6494.28,248.52
16,2,20150401,20150430,H00:H24,NHB,Visitor,964.26,105.58
2,21,20150401,20150430,H00:H24,HBW,Resident,1757.18,99.70
21,2,20150401,20150430,H00:H24,HBW,Resident,1585.28,99.33
15,6,20150401,20150430,H00:H24,HBW,Resident,8050.11,38.73
11,17,20150401,20150430,H00:H24,HBW,Resident,7734.31,700.60
17,25,20150401,20150430,H00:H24,NHB,Resident,2377.56,494.28
25,11,20150401,20150430,H00:H24,HBO,Resident,2579.67,321.65
11,19,20150401,20150430,H00:H24,HBW,Resident,1401.75,14.91
19,11,20150401,20150430,H00:H24,HBW,Resident,1163.93,14.83
2,20,20150401,20150430,H00:H24,NHB,Resident,1552.73,106.75
20,17,20150401,20150430,H00:H24,NHB,Resident,3993.02,496.96
17,2,20150401,20150430,H00:H24,HBO,Resident,4103.18,660.88
8,20,20150401,20150430,H00:H24,NHB,Resident,279.67,6.21
20,8,20150401,20150430,H00:H24,NHB,Resident,496.12,24.20
3,17,20150401,20150430,H00:H24,HBW,Resident,910.53,21.81
17,3,20150401,20150430,H00:H24,HBW,Resident,836.38,5.36
23,12,20150401,20150430,H00:H24,HBW,Resident,225.03,12.86
12,20,20150401,20150430,H00:H24,NHB,Resident,716.70,27.83
20,14,20150401,20150430,H00:H24,NHB,Resident,1520.91,355.70
15,26,20150401,20150430,H00:H24,HBO,Resident,415.55,87.90
26,15,20150401,20150430,H00:H24,HBO,Resident,451.06,88.73
15,24,20150401,20150430,H00:H24,NHB,Resident,744.91,169.30
24,17,20150401,20150430,H00:H24,NHB,Resident,744.62,120.61
17,20,20150401,20150430,H00:H24,NHB,Resident,2840.29,300.80
6,17,20150401,20150430,H00:H24,HBW,Resident,3127.70,62.71
17,6,20150401,20150430,H00:H24,HBW,Resident,2792.68,78.89
7,31,20150401,20150430,H00:H24,HBO,Resident,278.71,26.54
31,16,20150401,20150430,H00:H24,NHB,Resident,898.16,221.38
24,18,20150401,20150430,H00:H24,NHB,Visitor,533.89,33.37
5,17,20150401,20150430,H00:H24,HBO,Resident,952.12,47.27
17,2,20150401,20150430,H00:H24,NHB,Resident,4959.78,947.07
2,4,20150401,20150430,H00:H24,HBO,Resident,408.27,56.31
39,15,20150401,20150430,H00:H24,NHB,Resident,1441.85,308.03
15,6,20150401,20150430,H00:H24,NHB,Visitor,2071.46,13.58
35,2,20150401,20150430,H00:H24,NHB,Resident,59.79,10.87
2,35,20150401,20150430,H00:H24,NHB,Resident,284.65,97.59
14,3,20150401,20150430,H00:H24,NHB,Visitor,1397.33,157.65
10,24,20150401,20150430,H00:H24,HBO,Resident,818.47,95.30
24,2,20150401,20150430,H00:H24,NHB,Resident,760.04,84.45
17,2,20150401,20150430,H00:H24,NHB,Visitor,6524.55,557.54
15,7,20150401,20150430,H00:H24,NHB,Resident,7444.54,105.88
11,2,20150401,20150430,H00:H24,NHB,Resident,5208.05,188.24
15,20,20150401,20150430,H00:H24,HBW,Resident,1410.39,177.12
20,15,20150401,20150430,H00:H24,HBW,Resident,1104.47,249.82
2,11,20150401,20150430,H00:H24,NHB,Visitor,6258.26,309.88
24,10,20150401,20150430,H00:H24,NHB,Visitor,6831.11,768.24
23,20,20150401,20150430,H00:H24,HBO,Resident,103.58,20.72
20,23,20150401,20150430,H00:H24,HBO,Resident,115.70,26.30
40,15,20150401,20150430,H00:H24,HBW,Resident,1222.22,67.90
15,40,20150401,20150430,H00:H24,HBW,Resident,1113.04,14.18
25,14,20150401,20150430,H00:H24,NHB,Visitor,4031.16,544.00
11,12,20150401,20150430,H00:H24,NHB,Resident,17032.25,197.20
2,14,20150401,20150430,H00:H24,HBO,Resident,2113.81,350.76
14,2,20150401,20150430,H00:H24,HBO,Resident,2026.54,261.34
16,2,20150401,20150430,H00:H24,HBO,Resident,1743.29,372.84
25,4,20150401,20150430,H00:H24,NHB,Visitor,468.96,76.88
23,2,20150401,20150430,H00:H24,HBW,Resident,366.52,43.40
2,23,20150401,20150430,H00:H24,HBW,Resident,314.79,24.59
34,14,20150401,20150430,H00:H24,HBO,Resident,1351.77,188.62
15,4,20150401,20150430,H00:H24,NHB,Resident,2188.29,14.44
16,7,20150401,20150430,H00:H24,NHB,Resident,10591.95,140.54
14,25,20150401,20150430,H00:H24,HBW,Resident,987.23,81.78
25,14,20150401,20150430,H00:H24,HBO,Resident,1495.94,300.28
2,13,20150401,20150430,H00:H24,NHB,Visitor,9703.43,376.26
13,9,20150401,20150430,H00:H24,NHB,Visitor,1216.36,106.70
3,11,20150401,20150430,H00:H24,NHB,Resident,457.83,34.68
14,7,20150401,20150430,H00:H24,HBO,Resident,2433.01,278.51
7,14,20150401,20150430,H00:H24,HBO,Resident,2150.89,237.79
11,12,20150401,20150430,H00:H24,HBW,Resident,12180.29,39.57
12,11,20150401,20150430,H00:H24,HBW,Resident,11995.10,87.61
40,37,20150401,20150430,H00:H24,HBW,Resident,68.38,9.77
37,40,20150401,20150430,H00:H24,HBW,Resident,64.93,19.98
13,21,20150401,20150430,H00:H24,HBO,Resident,1330.71,101.12
21,13,20150401,20150430,H00:H24,HBO,Resident,1324.72,118.21
25,31,20150401,20150430,H00:H24,HBO,Resident,171.64,31.79
10,21,20150401,20150430,H00:H24,NHB,Visitor,2701.94,162.52
21,10,20150401,20150430,H00:H24,NHB,Visitor,2669.40,292.73
19,20,20150401,20150430,H00:H24,HBO,Resident,116.04,23.89
25,15,20150401,20150430,H00:H24,NHB,Resident,1551.09,604.99
15,13,20150401,20150430,H00:H24,HBO,Resident,2303.75,462.00
40,34,20150401,20150430,H00:H24,HBW,Resident,54.42,16.33
34,20,20150401,20150430,H00:H24,NHB,Resident,97.06,62.40
20,40,20150401,20150430,H00:H24,HBO,Resident,15.93,10.62
40,15,20150401,20150430,H00:H24,HBO,Resident,1634.38,108.96
15,40,20150401,20150430,H00:H24,HBO,Resident,1671.56,153.03
