Origin_Zone,Destination_Zone,Start_date,End_Date,Time_of_Day,Purpose,Subscriber_Class,Count,SZCount
25,11,20150401,20150430,H16:H19,HBW,Resident,561.04,21.30531646
14,7,20150401,20150430,H16:H19,HBW,Resident,762.94,79.34576
17,16,20150401,20150430,H07:H10,HBW,Resident,1848.57,24.08560261
2,17,20150401,20150430,H07:H10,HBW,Resident,715.07,83.63391813
17,2,20150401,20150430,H16:H19,HBW,Resident,422.19,73.99206186
16,15,20150401,20150430,H16:H19,HBW,Resident,4458.63,119.0732047
16,15,20150401,20150430,H16:H19,NHB,Resident,7974.23,123.0790983
2,10,20150401,20150430,H07:H10,HBW,Resident,2759.18,5.410156863
2,10,20150401,20150430,H16:H19,HBW,Resident,3334.13,13.95033473
16,11,20150401,20150430,H16:H19,NHB,Resident,1347.9,156.8984127
17,11,20150401,20150430,H07:H10,HBW,Resident,1511.55,156.7997925
24,17,20150401,20150430,H16:H19,HBO,Resident,245.02,25.00204082
10,2,20150401,20150430,H16:H19,NHB,Visitor,7704.47,87.24574042
21,2,20150401,20150430,H16:H19,NHB,Visitor,1201.89,75.54737143
15,8,20150401,20150430,H07:H10,NHB,Resident,393.39,6.449016393
8,15,20150401,20150430,H16:H19,NHB,Resident,582.14,6.615227273
15,13,20150401,20150430,H16:H19,HBW,Resident,106.37,5.065238095
13,15,20150401,20150430,H16:H19,HBW,Resident,504.23,170.177625
21,13,20150401,20150430,H16:H19,NHB,Visitor,302.29,6.169183673
9,11,20150401,20150430,H07:H10,NHB,Visitor,198.3,31.98387097
14,10,20150401,20150430,H16:H19,NHB,Visitor,1159.55,115.955
16,14,20150401,20150430,H16:H19,NHB,Visitor,692.1,105.4628571
7,17,20150401,20150430,H07:H10,HBW,Resident,1513.95,12.30853659
25,11,20150401,20150430,H07:H10,HBW,Resident,259.69,34.62533333
11,25,20150401,20150430,H16:H19,HBW,Resident,318.22,21.69681818
13,14,20150401,20150430,H16:H19,NHB,Resident,811.71,209.2689844
14,4,20150401,20150430,H16:H19,NHB,Visitor,290.08,14.87589744
12,14,20150401,20150430,H07:H10,HBW,Resident,1879.44,48.43917526
13,16,20150401,20150430,H07:H10,HBO,Resident,289.62,74.08883721
10,20,20150401,20150430,H07:H10,NHB,Resident,821.53,64.85763158
20,10,20150401,20150430,H16:H19,NHB,Resident,1322.9,43.13804348
